Open,High,Low,Close,Volume,Adjusted
96.059998,97.25,94.519997,95.209999,9122500,95.209999
93.260002,93.400002,88.5,88.790001,10270000,88.790001
88.620003,90.57,85.470001,88.82,9981600,88.82
87.550003,91.830002,86.93,87.879997,12283300,87.879997
87.559998,87.800003,80.239998,85.220001,16410900,85.220001
83.980003,85.970001,82.970001,84.260002,11609900,84.260002
84.029999,84.029999,80.290001,81.080002,10624300,81.080002
82.18,83.32,78.870003,82.870003,9056100,82.870003
80.489998,81.010002,78.510002,80.239998,9655900,80.239998
79.580002,82.360001,78.440002,80.349998,12407000,80.349998
80.160004,82.25,79.540001,80.120003,9900900,80.120003
79.93,82.309998,78.040001,79.760002,13364300,79.760002
73.580002,79.720001,72.220001,78.480003,12822200,78.480003
75.599998,76.800003,69.949997,73.970001,20405700,73.970001
74.529999,77.879997,74.190002,77.669998,9886600,77.669998
78.690002,81.43,76.330002,77.599998,10027600,77.599998
76.910004,77.400002,74.339996,75.82,8505300,75.82
75.769997,75.900002,72.059998,73.949997,9958000,73.949997
73.540001,77.419998,73.25,74.209999,25298700,74.209999
68.910004,78.870003,68.839996,77.699997,42885900,77.699997
79.019997,79.400002,73.370003,74.629997,16361000,74.629997
74.5,76.660004,73.900002,73.949997,9155200,73.949997
72.800003,74.209999,72,72.089996,9633900,72.089996
72.300003,72.43,68.169998,68.489998,12399500,68.489998
67.370003,72.709999,67.220001,70.910004,14501700,70.910004
73.400002,74.599998,72.519997,73.5,11700400,73.5
73.139999,75.959999,72.769997,75.190002,7763700,75.190002
75.43,77.050003,73.790001,74.449997,9449000,74.449997
74.989998,78.849998,73.269997,77.730003,11070300,77.730003
77.730003,77.879997,75.18,75.800003,7497200,75.800003
75,75.190002,71.940002,72.959999,11120100,72.959999
73.540001,74,71.550003,72.080002,7109200,72.080002
71.900002,73.879997,71.099998,73.639999,6450700,73.639999
73.940002,74.209999,69.370003,69.900002,13150800,69.900002
70.540001,72.209999,69.860001,72.080002,12342700,72.080002
72.349998,73.5,71.410004,73.269997,7858200,73.269997
71.910004,73.5,70.279999,71.690002,9891300,71.690002
70.68,71.480003,69.57,70.870003,8930500,70.870003
70.300003,70.599998,67.110001,67.849998,13167800,67.849998
67.010002,67.5,63.970001,64.470001,11664600,64.470001
63.59,64.489998,61.200001,62.43,13721100,62.43
61.669998,66.599998,61.23,65.339996,16703600,65.339996
65.660004,66.339996,63.82,64.989998,11126400,64.989998
64.75,65.459999,62.5,62.740002,8343300,62.740002
62.200001,64.870003,62.009998,64.089996,10438100,64.089996
63.900002,65.150002,62.91,63.470001,9321000,63.470001
65.949997,67.169998,63.709999,67.150002,9742900,67.150002
66.769997,68.230003,65.639999,66.510002,7748800,66.510002
65.110001,69.550003,64.370003,68.32,10707500,68.32
68.610001,70.68,66.059998,68.220001,12420700,68.220001
65.720001,67.790001,64.919998,66.529999,9709100,66.529999
68.25,71.93,67.589996,71.699997,9550700,71.699997
71.099998,74,70.169998,70.169998,11041900,70.169998
70.169998,73.489998,69.379997,73.190002,11410700,73.190002
73.82,76.93,72.75,75.949997,9395400,75.949997
75.830002,76.290001,74.050003,75.169998,6327500,75.169998
74.139999,75.120003,73.239998,73.800003,6285100,73.800003
74.370003,74.690002,70.800003,70.800003,7942400,70.800003
71,72.209999,69.260002,69.760002,5279100,69.760002
70.25,71.639999,69.629997,71.300003,5470300,71.300003
72.989998,77.089996,72.760002,76.699997,9734000,76.699997
77.080002,79,76.120003,77.370003,8592400,77.370003
75.150002,76.010002,73.809998,74.940002,8149900,74.940002
75.260002,77.830002,74.279999,76.870003,7152800,76.870003
77.360001,78.43,76,76.900002,6672400,76.900002
76.400002,77.610001,75.5,77.300003,4966000,77.300003
76.559998,76.669998,73.660004,74.389999,6660300,74.389999
74.480003,75.489998,72.730003,74.830002,6255500,74.830002
73.839996,74.300003,71.620003,71.989998,6785600,71.989998
71.699997,74,71.290001,72.610001,4354500,72.610001
72.970001,73.980003,70.650002,72.5,6813100,72.5
73.019997,75,72.940002,74.589996,6746800,74.589996
74.18,75.019997,73.610001,74.040001,6220000,74.040001
76.480003,82,76.32,80.099998,16791300,80.099998
80.029999,81.339996,79.059998,80.18,9335400,80.18
79.940002,79.940002,77.540001,79.599998,7245000,79.599998
80.300003,82.639999,78.739998,81,19250400,81
77.709999,80.529999,76.93,77.690002,21073500,77.690002
77.809998,81.32,77.260002,80.860001,9456500,80.860001
80.639999,82.5,80.120003,81.970001,10991900,81.970001
81.419998,81.769997,79.860001,80.739998,6726400,80.739998
80.900002,81.339996,77.919998,78.629997,7875700,78.629997
78.400002,80.010002,77.970001,79.360001,7197000,79.360001
80.300003,81.199997,76.400002,77.309998,8154900,77.309998
77.269997,77.769997,75.870003,75.919998,5647400,75.919998
75.510002,76.769997,75.050003,75.709999,6545700,75.709999
75.260002,76.639999,73.089996,73.18,8376600,73.18
73.730003,74.160004,71.559998,72.790001,8131300,72.790001
72.199997,73.339996,71.660004,72.410004,4243500,72.410004
73,74.93,71.779999,74.529999,7215400,74.529999
74.57,74.959999,73.309998,74.559998,5020800,74.559998
74.919998,75.75,73.980003,74.199997,4589200,74.199997
73.889999,76.32,73.550003,76.120003,6917700,76.120003
76.419998,76.830002,74.860001,76.459999,6206700,76.459999
79.010002,84.75,78.860001,82.290001,18684800,82.290001
82.169998,82.699997,80.029999,80.720001,7912200,80.720001
80.370003,81.150002,77.5,78.300003,7070500,78.300003
78.68,79.690002,78,79.260002,5390600,79.260002
78.550003,78.870003,77.43,78.349998,6331900,78.349998
78.260002,80.900002,77.970001,80.620003,10108200,80.620003
80.730003,80.790001,78.989998,80.080002,6700600,80.080002
80.610001,81.959999,80.169998,80.349998,6857600,80.349998
80.580002,81.769997,80.300003,81.620003,5270600,81.620003
81.150002,81.57,80.050003,80.230003,6215200,80.230003
80.709999,81.889999,79.260002,80.110001,5870000,80.110001
80.110001,81.82,79.720001,81.5,6458300,81.5
82.110001,84.879997,81.800003,84.510002,8938700,84.510002
83.239998,83.639999,80.559998,80.629997,7843700,80.629997
81.190002,81.529999,78.120003,79.43,6537300,79.43
78.199997,81.040001,78.199997,79.620003,6065600,79.620003
79.349998,80,77.029999,77.279999,5874500,77.279999
78.019997,79.050003,75.010002,76.150002,6204400,76.150002
76.699997,80,76.699997,79.169998,5974500,79.169998
78.419998,82.529999,78.410004,81.699997,5754400,81.699997
83.150002,84.300003,82.800003,82.970001,8802400,82.970001
82,83.169998,81.32,82.519997,6846600,82.519997
82.209999,84.470001,81.5,84.260002,6717300,84.260002
83.099998,83.459999,80.510002,81.099998,6588900,81.099998
81.300003,82.150002,79.550003,80.68,7425800,80.68
79.550003,80.790001,77.629997,79.639999,7140100,79.639999
80.449997,82.150002,79.519997,80.510002,7393300,80.510002
79.099998,79.889999,76,76.300003,11310100,76.300003
75.589996,76.07,72.620003,74.660004,11840500,74.660004
75.029999,76.120003,73.209999,73.330002,7104100,73.330002
72.239998,74.230003,70.519997,73.620003,10292500,73.620003
74.160004,74.410004,71.379997,71.440002,7044400,71.440002
72.510002,73.839996,70.519997,72,4248200,72
72.370003,74.400002,70.760002,72.489998,7355500,72.489998
72.379997,75.489998,71.75,75.040001,7916000,75.040001
74.559998,74.900002,70.480003,70.610001,6912100,70.610001
70.699997,71.769997,67.989998,70.629997,9941600,70.629997
69.400002,69.989998,66.739998,68.540001,7930000,68.540001
69.309998,69.5,65.589996,66.279999,9021300,66.279999
65.870003,68.620003,62.990002,67.029999,11342100,67.029999
66.940002,72.75,66.839996,71.839996,12038900,71.839996
71.199997,72.379997,67.739998,72.110001,9597400,72.110001
69.940002,70.839996,68.400002,69.120003,8298000,69.120003
69.519997,69.800003,66.300003,68.480003,6896900,68.480003
67.089996,69.139999,65.879997,67.970001,8795800,67.970001
67.459999,72.07,67.459999,70.540001,17916200,70.540001
76.300003,82.379997,76.290001,78.720001,30996600,78.720001
79.629997,80.940002,78.120003,78.309998,9150700,78.309998
77.089996,78.309998,74.860001,75.980003,10480200,75.980003
76.489998,78.800003,76.160004,78.209999,6770900,78.209999
78.360001,79.849998,76.419998,78.209999,7567300,78.209999
76.75,78.169998,76.099998,76.339996,5300700,76.339996
76.360001,76.489998,74.050003,75.75,4774500,75.75
